loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
561,HD 209458,b,HD 209458 b,Radial Velocity,1,3.52474859,,0.0,86.71,0.73,Mass,1.39,,6091.0,1.23,1.19,2018-12-06,W. M. Keck Observatory,2018-12-06
562,HD 210277,b,HD 210277 b,Radial Velocity,1,442.19,1.13,0.48,,1.29,Msini,,,5538.0,1.01,1.07,2018-09-06,W. M. Keck Observatory,2018-09-06
563,HD 210702,b,HD 210702 b,Radial Velocity,1,354.1,1.148,0.028,,1.808,Msini,,,4951.0,1.61,4.92,2018-12-06,Lick Observatory,2018-12-06
564,HD 211810,b,HD 211810 b,Radial Velocity,1,1558.0,2.656,0.68,,0.67,Msini,,,5652.0,1.03,1.13,2018-09-27,W. M. Keck Observatory,2018-09-27
565,HD 212301,b,HD 212301 b,Radial Velocity,1,2.24571,0.03,0.0,,0.51,Msini,,,6239.0,1.55,1.16,2018-09-06,La Silla Observatory,2018-09-06
566,HD 212771,b,HD 212771 b,Radial Velocity,1,380.7,1.19,0.076,,2.39,Msini,,,5003.0,1.56,5.27,2018-12-06,W. M. Keck Observatory,2018-12-06
567,HD 213240,b,HD 213240 b,Radial Velocity,1,882.70001,1.89,0.42,,5.58,Msini,,,5979.0,1.57,1.51,2018-09-06,La Silla Observatory,2018-09-06
568,HD 214823,b,HD 214823 b,Radial Velocity,1,1854.4,3.23,0.1641,,20.3,Msini,,,5933.0,1.31,2.04,2018-09-27,Haute-Provence Observatory,2018-09-27
569,HD 215152,b,HD 215152 b,Radial Velocity,4,5.75999,0.057638,0.0,,0.00572,Msini,,,4935.0,0.77,0.73,2018-02-22,La Silla Observatory,2018-02-22
570,HD 215152,c,HD 215152 c,Radial Velocity,4,7.28243,0.067393,0.0,,0.00541,Msini,,,4935.0,0.77,0.73,2018-02-22,La Silla Observatory,2018-02-22
