loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
1,11 Com,b,11 Com b,Radial Velocity,1,326.03,1.29,0.231,,19.4,Msini,,,4742.0,2.7,19.0,2014-05-14,Xinglong Station,2014-05-14
2,11 UMi,b,11 UMi b,Radial Velocity,1,516.21997,1.53,0.08,,14.74,Msini,,,4213.0,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg,2018-09-06
3,14 And,b,14 And b,Radial Velocity,1,185.84,0.83,0.0,,4.8,Msini,,,4813.0,2.2,11.0,2014-05-14,Okayama Astrophysical Observatory,2014-05-14
4,14 Her,b,14 Her b,Radial Velocity,1,1773.40002,2.93,0.37,,4.66,Msini,,,5338.0,0.9,0.93,2018-09-06,W. M. Keck Observatory,2018-09-06
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1,798.5,1.66,0.68,,1.78,Msini,,,5750.0,1.08,1.13,2018-09-06,Multiple Observatories,2018-09-06
6,18 Del,b,18 Del b,Radial Velocity,1,993.3,2.6,0.08,,10.3,Msini,,,4979.0,2.3,8.5,2014-05-14,Okayama Astrophysical Observatory,2014-05-14
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1,,330.0,,,8.0,Mass,,,4060.0,0.85,,2015-04-01,Gemini Observatory,2015-04-01
8,24 Boo,b,24 Boo b,Radial Velocity,1,30.3506,0.19,0.042,,0.91,Msini,,,4893.0,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory,2018-04-26
9,24 Sex,b,24 Sex b,Radial Velocity,2,452.8,1.333,0.09,,1.99,Msini,,,5098.0,1.54,4.9,2014-05-14,Lick Observatory,2014-05-14
10,24 Sex,c,24 Sex c,Radial Velocity,2,883.0,2.08,0.29,,0.86,Msini,,,5098.0,1.54,4.9,2014-05-14,Lick Observatory,2014-05-14
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,1,,52.0,,,24.5,Mass,,,3530.0,0.4,,2014-05-14,W. M. Keck Observatory,2014-05-14
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,1,,156.0,,,13.9,Mass,1.44,,3064.0,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory,2015-05-14
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,1,,15.0,,,7.5,Mass,,,,0.02,,2014-05-14,Hubble Space Telescope,2014-05-14
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1,,46.0,,,4.0,Mass,,,,0.02,,2014-05-14,Paranal Observatory,2014-05-14
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.0,0.92,,,1.9,Mass,,,,0.48,,2015-06-04,Kepler,2015-06-04
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,2300.0,0.08,0.12,2014-05-14,W. M. Keck Observatory,2014-05-14
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,1,,230.0,,,12.5,Mass,,,4045.0,0.6,,2016-11-10,W. M. Keck Observatory,2016-11-10
18,30 Ari B,b,30 Ari B b,Radial Velocity,1,335.10001,0.99,0.29,,13.82,Msini,,,6331.0,1.93,1.41,2018-09-06,Thueringer Landessternwarte Tautenburg,2018-09-06
19,4 UMa,b,4 UMa b,Radial Velocity,1,269.3,0.87,0.432,,7.1,Msini,,,4415.0,1.23,18.11,2014-05-14,Thueringer Landessternwarte Tautenburg,2014-05-14
20,42 Dra,b,42 Dra b,Radial Velocity,1,479.1,1.19,0.38,,3.88,Msini,,,4200.0,0.98,22.03,2014-05-14,Thueringer Landessternwarte Tautenburg,2014-05-14
21,47 UMa,b,47 UMa b,Radial Velocity,3,1078.0,2.1,0.032,,2.53,Msini,,,5892.0,1.03,1.23,2014-05-14,Lick Observatory,2014-05-14
22,47 UMa,c,47 UMa c,Radial Velocity,3,2391.0,3.6,0.098,,0.54,Msini,,,5892.0,1.03,1.23,2014-05-14,Lick Observatory,2014-05-14
23,47 UMa,d,47 UMa d,Radial Velocity,3,14002.0,11.6,0.16,,1.64,Msini,,,5892.0,1.03,1.23,2014-05-14,Lick Observatory,2014-05-14
24,51 Eri,b,51 Eri b,Imaging,1,,13.2,,,2.0,Mass,,,,1.75,,2015-08-14,Gemini Observatory,2015-08-14
25,51 Peg,b,51 Peg b,Radial Velocity,1,4.230785,0.0527,0.013,,0.472,Msini,,,5793.0,1.12,1.2,2014-05-14,Haute-Provence Observatory,2014-05-14
26,55 Cnc,b,55 Cnc b,Radial Velocity,5,14.65152,0.115227,0.0034,90.0,0.8306,Mass,,,5196.0,0.91,0.94,2014-10-29,Lick Observatory,2014-10-29
27,55 Cnc,c,55 Cnc c,Radial Velocity,5,44.4175,0.24137600000000003,0.02,90.0,0.1714,Mass,,,5196.0,0.91,0.94,2014-10-29,McDonald Observatory,2014-10-29
28,55 Cnc,d,55 Cnc d,Radial Velocity,5,4825.0,5.503,0.019,90.0,3.878,Mass,,,5196.0,0.91,0.94,2014-10-29,Lick Observatory,2014-10-29
29,55 Cnc,e,55 Cnc e,Radial Velocity,5,0.736539,0.01544,,83.3,0.025419999999999998,Mass,0.17,6.4,5196.0,0.91,0.94,2019-01-31,McDonald Observatory,2019-01-31
30,55 Cnc,f,55 Cnc f,Radial Velocity,5,262.0,0.788,0.305,90.0,0.141,Mass,,,5196.0,0.91,0.94,2014-10-29,Multiple Observatories,2014-10-29
31,6 Lyn,b,6 Lyn b,Radial Velocity,1,934.3,2.11,0.073,,2.01,Msini,,,4938.0,1.44,5.2,2018-12-06,Okayama Astrophysical Observatory,2018-12-06
32,61 Vir,b,61 Vir b,Radial Velocity,3,4.215,0.050200999999999996,0.12,,0.016,Msini,,,5577.0,0.94,0.96,2014-05-14,Multiple Observatories,2014-05-14
33,61 Vir,c,61 Vir c,Radial Velocity,3,38.021,0.2175,0.14,,0.057,Msini,,,5577.0,0.94,0.96,2014-05-14,Multiple Observatories,2014-05-14
34,61 Vir,d,61 Vir d,Radial Velocity,3,123.01,0.476,0.35,,0.072,Msini,,,5577.0,0.94,0.96,2014-05-14,Multiple Observatories,2014-05-14
35,7 CMa,b,7 CMa b,Radial Velocity,1,796.0,1.93,0.22,,2.46,Msini,,,4792.0,1.52,2.3,2015-10-22,Anglo-Australian Telescope,2015-10-22
36,70 Vir,b,70 Vir b,Radial Velocity,1,116.688,0.481,0.3988,,7.416,Msini,,,5495.0,1.09,1.89,2018-12-06,Lick Observatory,2018-12-06
37,75 Cet,b,75 Cet b,Radial Velocity,1,691.9,2.1,0.117,,3.0,Msini,,,4846.0,2.49,10.5,2015-09-03,Okayama Astrophysical Observatory,2015-09-03
38,8 UMi,b,8 UMi b,Radial Velocity,1,93.4,0.49,0.06,,1.31,Msini,,,4847.0,1.44,10.3,2018-09-06,Bohyunsan Optical Astronomical Observatory,2018-09-06
39,81 Cet,b,81 Cet b,Radial Velocity,1,952.7,2.5,0.206,,5.3,Msini,,,4785.0,2.4,11.0,2014-05-14,Okayama Astrophysical Observatory,2014-05-14
40,91 Aqr,b,91 Aqr b,Radial Velocity,1,181.4,0.7,0.027,,3.2,Msini,,,4665.0,1.4,11.0,2014-05-14,Lick Observatory,2014-05-14
41,AB Pic,b,AB Pic b,Imaging,1,,260.0,,,13.5,Mass,,,,,,2014-05-14,Paranal Observatory,2014-05-14
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,1,481.9,1.3,0.2,,6.4,Msini,,,4095.0,1.14,32.35,2017-06-15,Multiple Observatories,2017-06-15
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,1,268.94,0.78,0.29,,1.04,Msini,,,4864.0,0.49,0.86,2018-09-06,McDonald Observatory,2018-09-06
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,1,153.22,0.576,0.001,,1.061,Msini,,,4649.0,1.08,8.95,2016-02-04,Roque de los Muchachos Observatory,2016-02-04
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,1,137.48,0.539,0.26,,1.11,Msini,,,4796.0,1.1,14.7,2014-05-14,McDonald Observatory,2014-05-14
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,2,379.63,1.05,0.15,,55.59,Msini,,,4259.0,10.83,71.02,2018-09-06,McDonald Observatory,2018-09-06
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,2,621.99,2.01,0.18,,12.47,Msini,,,4259.0,10.83,71.02,2014-05-14,McDonald Observatory,2014-05-14
48,BD+20 274,b,BD+20 274 b,Radial Velocity,1,578.2,1.3,0.21,,4.2,Msini,,,4296.0,0.8,17.3,2015-09-18,McDonald Observatory,2015-09-18
49,BD+20 594,b,BD+20 594 b,Transit,1,41.6855,,0.0,89.55,0.07,Mass,0.23,,5766.0,1.67,1.08,2018-04-26,K2,2018-04-26
50,BD+48 738,b,BD+48 738 b,Radial Velocity,1,392.6,1.0,0.2,,0.91,Msini,,,4414.0,0.74,11.0,2015-08-13,McDonald Observatory,2015-08-13
51,BD+48 740,b,BD+48 740 b,Radial Velocity,1,733.0,1.7,0.76,,1.7,Msini,,,4534.0,1.09,10.33,2018-02-01,Multiple Observatories,2018-02-01
52,BD+49 828,b,BD+49 828 b,Radial Velocity,1,2590.0,4.2,0.35,,1.6,Msini,,,4943.0,1.52,7.6,2015-02-05,McDonald Observatory,2015-02-05
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,2,3.8728,0.0428,0.0,,0.027,Msini,,,4324.0,0.7,,2014-05-14,La Silla Observatory,2014-05-14
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,2,125.94,0.435,0.31,,0.17,Msini,,,4324.0,0.7,,2014-05-14,La Silla Observatory,2014-05-14
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,2,5.6,0.06,0.15,,0.04,Msini,,,4816.0,0.5,0.71,2018-09-06,La Silla Observatory,2018-09-06
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,2,237.6,0.68,0.19,,0.33,Msini,,,4816.0,0.5,0.71,2014-05-14,La Silla Observatory,2014-05-14
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,1,3.48777,0.04,0.02,,0.59,Msini,,,5393.0,1.47,0.91,2018-09-06,W. M. Keck Observatory,2018-09-06
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,1,1667.0,2.28,0.05,,0.53,Msini,,,4475.0,0.57,0.52,2015-01-08,La Silla Observatory,2015-01-08
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,1,714.29999,1.66,0.21,,9.78,Msini,,,4545.0,2.12,19.17,2018-09-06,La Silla Observatory,2018-09-06
60,BD-17 63,b,BD-17 63 b,Radial Velocity,1,655.59998,1.34,0.54,,2.85,Msini,,,4665.0,0.31,0.74,2018-09-06,La Silla Observatory,2018-09-06
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,1,10037.5,2.6,,,10.5,Mass,,,580.5,0.02,,2014-05-14,W. M. Keck Observatory,2014-05-14
62,CHXR 73,b,CHXR 73 b,Imaging,1,,210.0,,,12.569,Mass,,,,0.35,,2014-05-14,Hubble Space Telescope,2014-05-14
63,CT Cha,b,CT Cha b,Imaging,1,,440.0,,,17.0,Mass,2.2,,,,,2014-05-14,Paranal Observatory,2014-05-14
64,CoRoT-1,b,CoRoT-1 b,Transit,1,1.5089557,,0.0,85.1,1.03,Mass,1.49,0.38,5950.0,0.95,1.11,2014-05-14,CoRoT,2014-05-14
65,CoRoT-10,b,CoRoT-10 b,Transit,1,13.2406,0.1055,0.53,88.55,2.75,Mass,0.97,3.7,5075.0,0.89,0.79,2014-05-14,CoRoT,2014-05-14
66,CoRoT-11,b,CoRoT-11 b,Transit,1,2.99433,0.0436,0.0,83.17,2.33,Mass,1.43,0.99,6440.0,1.27,1.37,2014-05-14,CoRoT,2014-05-14
67,CoRoT-12,b,CoRoT-12 b,Transit,1,2.828042,0.04016,0.07,85.48,0.917,Mass,1.44,0.411,5675.0,1.08,1.12,2014-05-14,CoRoT,2014-05-14
68,CoRoT-13,b,CoRoT-13 b,Transit,1,4.03519,0.051,0.0,88.02,1.308,Mass,0.885,2.34,5945.0,1.09,1.01,2014-05-14,CoRoT,2014-05-14
69,CoRoT-14,b,CoRoT-14 b,Transit,1,1.51214,0.027,0.0,79.6,7.6,Mass,1.09,7.3,6035.0,1.13,1.21,2014-05-14,CoRoT,2014-05-14
70,CoRoT-16,b,CoRoT-16 b,Transit,1,5.35227,0.0618,0.33,85.01,0.535,Mass,1.17,0.44,5650.0,1.1,1.19,2014-05-14,CoRoT,2014-05-14
71,CoRoT-17,b,CoRoT-17 b,Transit,1,3.7681,0.0461,0.0,88.34,2.43,Mass,1.02,2.82,5740.0,1.04,1.59,2014-05-14,CoRoT,2014-05-14
72,CoRoT-18,b,CoRoT-18 b,Transit,1,1.9000693,0.0295,0.08,86.5,3.47,Mass,1.31,2.2,5440.0,0.95,1.0,2014-05-14,CoRoT,2014-05-14
73,CoRoT-19,b,CoRoT-19 b,Transit,1,3.89713,0.0518,0.047,88.0,1.11,Mass,1.29,0.71,6090.0,1.21,1.65,2014-05-14,CoRoT,2014-05-14
74,CoRoT-2,b,CoRoT-2 b,Transit,1,1.7429935,0.02798,0.0143,88.08,3.47,Mass,1.466,1.47,5625.0,0.96,0.91,2014-05-14,CoRoT,2014-05-14
75,CoRoT-20,b,CoRoT-20 b,Transit,2,9.24285,0.09,0.59,88.21,4.3,Mass,,,,1.14,,2018-07-19,CoRoT,2018-07-19
76,CoRoT-20,c,CoRoT-20 c,Radial Velocity,2,1675.0,2.9,0.6,,17.0,Msini,,,,1.14,,2018-07-19,Multiple Observatories,2018-07-19
77,CoRoT-21,b,CoRoT-21 b,Transit,1,2.72474,0.0417,0.0,86.8,2.26,Mass,1.3,1.36,6200.0,1.29,1.95,2018-12-06,CoRoT,2018-12-06
78,CoRoT-22,b,CoRoT-22 b,Transit,1,9.75598,0.092,0.077,89.749,0.038,Mass,0.435,0.249,5939.0,1.1,1.14,2014-08-21,CoRoT,2014-08-21
79,CoRoT-23,b,CoRoT-23 b,Transit,1,3.6313,0.048,0.16,85.7,2.8,Mass,1.05,3.0,5900.0,1.14,1.61,2014-05-14,CoRoT,2014-05-14
80,CoRoT-24,b,CoRoT-24 b,Transit,2,5.1134,0.056,0.0,86.5,0.018,Mass,0.33,0.9,4950.0,0.91,0.86,2018-05-31,CoRoT,2018-05-31
81,CoRoT-24,c,CoRoT-24 c,Transit,2,11.759,0.098,0.0,89.0,0.088,Mass,0.44,1.3,4950.0,0.91,0.86,2014-06-11,CoRoT,2014-06-11
82,CoRoT-25,b,CoRoT-25 b,Transit,1,4.86069,0.0578,0.0,84.5,0.27,Mass,1.08,0.15,6040.0,1.09,1.19,2014-05-14,CoRoT,2014-05-14
83,CoRoT-26,b,CoRoT-26 b,Transit,1,4.20474,0.0526,0.0,86.8,0.52,Mass,1.26,0.28,5590.0,1.09,1.79,2014-05-14,CoRoT,2014-05-14
84,CoRoT-27,b,CoRoT-27 b,Transit,1,3.57532,0.0476,0.065,86.7,10.39,Mass,1.0070000000000001,12.6,5900.0,1.05,1.08,2014-05-14,CoRoT,2014-05-14
85,CoRoT-28,b,CoRoT-28 b,Transit,1,5.20851,0.0603,0.047,88.1,0.484,Mass,0.955,0.69,5150.0,1.01,1.78,2015-04-16,CoRoT,2015-04-16
86,CoRoT-29,b,CoRoT-29 b,Transit,1,2.85057,0.0386,0.082,87.3,0.85,Mass,0.9,1.45,5260.0,0.97,0.9,2015-04-16,CoRoT,2015-04-16
87,CoRoT-3,b,CoRoT-3 b,Transit,1,4.2568,,0.0,85.9,21.66,Mass,1.01,26.4,6740.0,1.37,1.56,2014-05-14,CoRoT,2014-05-14
88,CoRoT-4,b,CoRoT-4 b,Transit,1,9.20205,0.09,0.0,90.0,0.72,Mass,1.19,0.525,6190.0,1.16,1.17,2014-05-14,CoRoT,2014-05-14
89,CoRoT-5,b,CoRoT-5 b,Transit,1,4.0378962,0.04947,0.09,85.83,0.467,Mass,1.3880000000000001,0.217,6100.0,1.0,1.19,2014-05-14,CoRoT,2014-05-14
90,CoRoT-6,b,CoRoT-6 b,Transit,1,8.886593,0.0855,0.1,89.07,2.96,Mass,1.166,2.32,6090.0,1.05,1.02,2014-05-14,CoRoT,2014-05-14
91,CoRoT-7,b,CoRoT-7 b,Transit,2,0.85359163,,0.0,80.1,0.01,Mass,0.15,,5275.0,0.82,0.83,2018-12-06,CoRoT,2018-12-06
92,CoRoT-7,c,CoRoT-7 c,Radial Velocity,2,3.698,0.046,0.0,80.0,0.026430000000000002,Mass,,,5275.0,0.82,0.83,2015-09-10,CoRoT,2015-09-10
93,CoRoT-8,b,CoRoT-8 b,Transit,1,6.21229,0.063,0.0,88.4,0.22,Mass,0.57,1.6,5080.0,0.88,0.77,2014-05-14,CoRoT,2014-05-14
94,CoRoT-9,b,CoRoT-9 b,Transit,1,95.272656,0.4021,0.133,89.9,0.84,Mass,1.0659999999999998,0.86,5625.0,0.96,0.96,2017-12-14,CoRoT,2017-12-14
95,CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,1,6.71837,0.071,,89.0,0.15,Mass,0.57,1.1,5970.0,1.08,0.79,2017-09-15,CoRoT,2017-09-15
96,DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,1,246.36,0.36,0.345,56.6,28.5,Mass,,,,0.07,,2014-05-14,Paranal Observatory,2014-05-14
97,DH Tau,b,DH Tau b,Imaging,1,,330.0,,,11.0,Mass,,,,0.33,0.27,2014-05-14,Subaru Telescope,2014-05-14
98,DP Leo,b,DP Leo b,Eclipse Timing Variations,1,10220.0,8.19,0.39,,6.05,Msini,,,,0.69,,2014-05-14,Yunnan Astronomical Observatory,2014-05-14
99,EPIC 211822797,b,EPIC 211822797 b,Transit,1,21.169861,0.131,0.06,89.73,,,0.177,,4148.21,0.66,0.57,2017-10-26,K2,2017-10-26
100,EPIC 211945201,b,EPIC 211945201 b,Transit,1,19.49221,0.1493,,,,,0.514,,6069.0,1.17,1.39,2018-10-26,K2,2018-10-26
101,EPIC 220674823,b,EPIC 220674823 b,Transit,2,0.571331,0.0134,,,,,0.162,,5617.0,0.97,0.98,2018-10-26,K2,2018-10-26
102,EPIC 220674823,c,EPIC 220674823 c,Transit,2,13.339079,0.1091,,,,,0.244,,5617.0,0.97,0.98,2018-10-26,K2,2018-10-26
103,EPIC 246851721,b,EPIC 246851721 b,Transit,1,6.180235,0.07229,,86.21,3.0,Mass,1.051,3.1,6202.0,1.32,1.59,2018-10-26,K2,2018-10-26
104,FU Tau,b,FU Tau b,Imaging,1,,800.0,,,16.0,Mass,,,2838.0,0.05,,2016-03-10,Spitzer Space Telescope,2016-03-10
105,Fomalhaut,b,Fomalhaut b,Imaging,1,555530.0,160.0,0.87,55.0,,,,,,1.92,,2015-11-19,Hubble Space Telescope,2015-11-19
106,GJ 1132,b,GJ 1132 b,Transit,2,1.628931,0.0153,0.22,,0.005220000000000001,Mass,,6.3,3270.0,0.18,0.21,2018-06-21,Cerro Tololo Inter-American Observatory,2018-06-21
107,GJ 1132,c,GJ 1132 c,Transit,2,8.929,0.0476,0.27,,0.00831,Msini,,,3270.0,0.18,0.21,2018-06-21,La Silla Observatory,2018-06-21
108,GJ 1148,b,GJ 1148 b,Radial Velocity,2,41.38,0.166,0.38,,0.30425,Msini,,,3264.0,0.35,0.4,2017-10-19,W. M. Keck Observatory,2017-10-19
109,GJ 1148,c,GJ 1148 c,Radial Velocity,2,532.58,0.912,0.342,,0.21414,Msini,,,3264.0,0.35,0.4,2017-10-19,Calar Alto Observatory,2017-10-19
110,GJ 1214,b,GJ 1214 b,Transit,1,1.58040456,0.01411,,88.17,0.0197,Mass,0.254,1.49,3026.0,0.15,0.22,2015-12-03,MEarth Project,2015-12-03
111,GJ 1265,b,GJ 1265 b,Radial Velocity,1,3.6511,0.026,0.04,,0.023280000000000002,Msini,,,3236.0,0.18,0.19,2018-12-06,Calar Alto Observatory,2018-12-06
112,GJ 163,b,GJ 163 b,Radial Velocity,3,8.63182,0.0607,0.073,,0.03335,Msini,,,3500.0,0.4,,2017-01-26,La Silla Observatory,2017-01-26
113,GJ 163,c,GJ 163 c,Radial Velocity,3,25.63058,0.1254,0.099,,0.0214,Msini,,,3500.0,0.4,,2017-01-26,La Silla Observatory,2017-01-26
114,GJ 163,d,GJ 163 d,Radial Velocity,3,603.95116,1.0304,0.373,,0.0925,Msini,,,3500.0,0.4,,2017-01-26,La Silla Observatory,2017-01-26
115,GJ 179,b,GJ 179 b,Radial Velocity,1,2288.0,2.41,0.21,,0.82,Msini,,,3370.0,0.36,0.38,2014-05-14,W. M. Keck Observatory,2014-05-14
116,GJ 273,b,GJ 273 b,Radial Velocity,2,18.6498,0.091101,0.1,,0.00909,Msini,,,3382.0,0.29,0.29,2017-03-30,La Silla Observatory,2017-03-30
117,GJ 273,c,GJ 273 c,Radial Velocity,2,4.7234,0.036467,0.17,,0.00371,Msini,,,3382.0,0.29,0.29,2017-03-30,La Silla Observatory,2017-03-30
118,GJ 3021,b,GJ 3021 b,Radial Velocity,1,133.71,0.49,0.511,,3.37,Msini,,,5540.0,0.9,0.9,2014-05-14,La Silla Observatory,2014-05-14
119,GJ 3138,b,GJ 3138 b,Radial Velocity,3,1.22003,0.0197,0.19,,0.0056,Msini,,,3717.0,0.68,0.5,2017-03-30,La Silla Observatory,2017-03-30
120,GJ 3138,c,GJ 3138 c,Radial Velocity,3,5.974,0.057,0.11,,0.01315,Msini,,,3717.0,0.68,0.5,2017-03-30,La Silla Observatory,2017-03-30
121,GJ 3138,d,GJ 3138 d,Radial Velocity,3,257.8,0.698,0.32,,0.03304,Msini,,,3717.0,0.68,0.5,2017-03-30,La Silla Observatory,2017-03-30
122,GJ 317,b,GJ 317 b,Radial Velocity,2,692.0,1.15,0.11,45.0,2.5,Mass,,,3510.0,0.42,,2014-08-27,W. M. Keck Observatory,2014-08-27
123,GJ 317,c,GJ 317 c,Radial Velocity,2,5312.0,,0.308,,1.54,Msini,,,3510.0,0.42,,2018-11-29,W. M. Keck Observatory,2018-11-29
124,GJ 328,b,GJ 328 b,Radial Velocity,1,4100.0,4.5,0.37,,2.3,Msini,,,3900.0,0.69,,2014-05-14,McDonald Observatory,2014-05-14
125,GJ 3293,b,GJ 3293 b,Radial Velocity,4,30.5987,0.14339000000000002,0.06,,0.07406,Msini,,,3466.0,0.42,0.4,2017-03-30,La Silla Observatory,2017-03-30
126,GJ 3293,c,GJ 3293 c,Radial Velocity,4,122.6196,0.36175,0.11,,0.06636,Msini,,,3466.0,0.42,0.4,2017-03-30,La Silla Observatory,2017-03-30
127,GJ 3293,d,GJ 3293 d,Radial Velocity,4,48.1345,0.19394,0.12,,0.02391,Msini,,,3466.0,0.42,0.4,2017-03-30,La Silla Observatory,2017-03-30
128,GJ 3293,e,GJ 3293 e,Radial Velocity,4,13.2543,0.08208,0.21,,0.010320000000000001,Msini,,,3466.0,0.42,0.4,2017-03-30,La Silla Observatory,2017-03-30
129,GJ 3323,b,GJ 3323 b,Radial Velocity,2,5.3636,0.03282,0.23,,0.00636,Msini,,,3159.0,0.16,0.12,2017-03-30,La Silla Observatory,2017-03-30
130,GJ 3323,c,GJ 3323 c,Radial Velocity,2,40.54,0.1264,0.17,,0.00727,Msini,,,3159.0,0.16,0.12,2017-03-30,La Silla Observatory,2017-03-30
131,GJ 3341,b,GJ 3341 b,Radial Velocity,1,14.207,0.089,0.31,,0.0208,Msini,,,3526.0,0.47,0.44,2014-12-03,La Silla Observatory,2014-12-03
132,GJ 3470,b,GJ 3470 b,Radial Velocity,1,3.3366496,0.0355,,89.13,0.04373,Mass,0.408,0.8,3600.0,0.54,0.55,2016-09-29,La Silla Observatory,2016-09-29
133,GJ 3634,b,GJ 3634 b,Radial Velocity,1,2.64561,0.0287,0.08,59.0,0.026,Mass,,,,0.45,0.43,2014-08-21,La Silla Observatory,2014-08-21
134,GJ 3779,b,GJ 3779 b,Radial Velocity,1,3.0232,0.026,0.07,,0.025169999999999998,Msini,,,3324.0,0.27,0.28,2018-12-06,Calar Alto Observatory,2018-12-06
135,GJ 3942,b,GJ 3942 b,Radial Velocity,1,6.905,0.0608,0.121,,0.02246,Msini,,,3867.0,0.63,0.61,2017-12-21,Roque de los Muchachos Observatory,2017-12-21
136,GJ 3998,b,GJ 3998 b,Radial Velocity,2,2.64977,0.029,0.0,,0.00777,Msini,,,3722.0,0.5,0.49,2016-07-28,Roque de los Muchachos Observatory,2016-07-28
137,GJ 3998,c,GJ 3998 c,Radial Velocity,2,13.74,0.089,0.049,,0.0197,Msini,,,3722.0,0.5,0.49,2016-07-28,Roque de los Muchachos Observatory,2016-07-28
138,GJ 4276,b,GJ 4276 b,Radial Velocity,1,13.352,0.082,0.37,,0.052129999999999996,Msini,,,3387.0,0.41,0.41,2019-01-24,Calar Alto Observatory,2019-01-24
139,GJ 433,b,GJ 433 b,Radial Velocity,1,7.3709,0.06,0.08,,0.02,Msini,,,3461.0,0.59,0.5,2018-09-06,La Silla Observatory,2018-09-06
140,GJ 436,b,GJ 436 b,Radial Velocity,1,2.64388312,0.0291,0.13827,86.44,0.07,Mass,0.37200000000000005,1.8,,0.47,0.46,2015-02-05,W. M. Keck Observatory,2015-02-05
141,GJ 504,b,GJ 504 b,Imaging,1,,43.5,,,4.0,Mass,,,6234.0,1.22,,2014-05-14,Subaru Telescope,2014-05-14
142,GJ 536,b,GJ 536 b,Radial Velocity,1,8.7076,0.06661,0.08,,0.01686,Msini,,,3685.0,0.52,0.5,2016-11-17,La Silla Observatory,2016-11-17
143,GJ 581,b,GJ 581 b,Radial Velocity,3,5.3686,0.04061,0.0,,0.0497,Msini,,,,0.31,0.29,2014-07-09,La Silla Observatory,2014-07-09
144,GJ 581,c,GJ 581 c,Radial Velocity,3,12.914,0.0721,0.0,,0.0173,Msini,,,,0.31,0.29,2014-07-09,La Silla Observatory,2014-07-09
145,GJ 581,e,GJ 581 e,Radial Velocity,3,3.149,0.02815,0.0,,0.0053,Msini,,,,0.31,0.29,2014-07-09,La Silla Observatory,2014-07-09
146,GJ 625,b,GJ 625 b,Radial Velocity,1,14.628,0.078361,0.13,,0.008870000000000001,Msini,,,3499.0,0.3,0.31,2017-09-28,Multiple Observatories,2017-09-28
147,GJ 649,b,GJ 649 b,Radial Velocity,1,598.3,1.135,0.3,,0.328,Msini,,,3700.0,0.54,,2014-05-14,W. M. Keck Observatory,2014-05-14
148,GJ 667 C,b,GJ 667 C b,Radial Velocity,5,7.2004,0.0505,0.13,,0.018,Msini,,,3350.0,0.33,,2014-05-14,La Silla Observatory,2014-05-14
149,GJ 667 C,c,GJ 667 C c,Radial Velocity,5,28.14,0.125,0.02,,0.012,Msini,,,3350.0,0.33,,2014-05-14,La Silla Observatory,2014-05-14
150,GJ 667 C,e,GJ 667 C e,Radial Velocity,5,62.24,0.213,0.02,,0.008,Msini,,,3350.0,0.33,,2014-05-14,La Silla Observatory,2014-05-14
151,GJ 667 C,f,GJ 667 C f,Radial Velocity,5,39.026,0.156,0.03,,0.008,Msini,,,3350.0,0.33,,2014-05-14,La Silla Observatory,2014-05-14
152,GJ 667 C,g,GJ 667 C g,Radial Velocity,5,256.2,0.549,0.08,,0.014,Msini,,,3350.0,0.33,,2014-05-14,La Silla Observatory,2014-05-14
