Month,Time,Location,Pollutant,Concentration (ug/m3)
Jan-2008,07:00,Background,PM10 Particulates,17.12903226
Jan-2008,07:00,Background,PM2.5 Particulates,.
Jan-2008,07:00,Background,Sulphur Dioxide,3
Jan-2008,08:00,Roadside,Nitric Oxide,
Jan-2008,08:00,Roadside,Nitrogen Dioxide,69.48387097
Jan-2008,08:00,Roadside,Oxides of Nitrogen,
Jan-2008,08:00,Roadside,Ozone,21.51612903
Jan-2008,08:00,Roadside,PM10 Particulates,25.25806452
Jan-2008,08:00,Roadside,PM2.5 Particulates,14.87096774
Jan-2008,08:00,Roadside,Sulphur Dioxide,4.741935484
Jan-2008,08:00,Background,Nitric Oxide,
Jan-2008,08:00,Background,Nitrogen Dioxide,52.87096774
Jan-2008,08:00,Background,Oxides of Nitrogen,
Jan-2008,08:00,Background,Ozone,28.09677419
Jan-2008,08:00,Background,PM10 Particulates,17.67741935
Jan-2008,08:00,Background,PM2.5 Particulates,.
Jan-2008,08:00,Background,Sulphur Dioxide,3.451612903
Jan-2008,09:00,Roadside,Nitric Oxide,
Jan-2008,09:00,Roadside,Nitrogen Dioxide,67.06451613
Jan-2008,09:00,Roadside,Oxides of Nitrogen,
Jan-2008,09:00,Roadside,Ozone,23.74193548
Jan-2008,09:00,Roadside,PM10 Particulates,26.64516129
Jan-2008,09:00,Roadside,PM2.5 Particulates,14.80645161
Jan-2008,09:00,Roadside,Sulphur Dioxide,5.225806452
Jan-2008,09:00,Background,Nitric Oxide,
Jan-2008,09:00,Background,Nitrogen Dioxide,50.4516129
Jan-2008,09:00,Background,Oxides of Nitrogen,
Jan-2008,09:00,Background,Ozone,31.41935484
Jan-2008,09:00,Background,PM10 Particulates,19.12903226
Jan-2008,09:00,Background,PM2.5 Particulates,.
Jan-2008,09:00,Background,Sulphur Dioxide,3.838709677
Jan-2008,10:00,Roadside,Nitric Oxide,
Jan-2008,10:00,Roadside,Nitrogen Dioxide,62.25806452
Jan-2008,10:00,Roadside,Oxides of Nitrogen,
Jan-2008,10:00,Roadside,Ozone,28
Jan-2008,10:00,Roadside,PM10 Particulates,26.74193548
Jan-2008,10:00,Roadside,PM2.5 Particulates,14.61290323
Jan-2008,10:00,Roadside,Sulphur Dioxide,5.290322581
Jan-2008,10:00,Background,Nitric Oxide,
Jan-2008,10:00,Background,Nitrogen Dioxide,45.61290323
Jan-2008,10:00,Background,Oxides of Nitrogen,
Jan-2008,10:00,Background,Ozone,36.09677419
Jan-2008,10:00,Background,PM10 Particulates,18.4516129
Jan-2008,10:00,Background,PM2.5 Particulates,.
Jan-2008,10:00,Background,Sulphur Dioxide,3.903225806
Jan-2008,11:00,Roadside,Nitric Oxide,
Jan-2008,11:00,Roadside,Nitrogen Dioxide,60.4516129
Jan-2008,11:00,Roadside,Oxides of Nitrogen,
Jan-2008,11:00,Roadside,Ozone,29.58064516
Jan-2008,11:00,Roadside,PM10 Particulates,28.06451613
Jan-2008,11:00,Roadside,PM2.5 Particulates,14.80645161
Jan-2008,11:00,Roadside,Sulphur Dioxide,5
Jan-2008,11:00,Background,Nitric Oxide,
Jan-2008,11:00,Background,Nitrogen Dioxide,43.09677419
Jan-2008,11:00,Background,Oxides of Nitrogen,
Jan-2008,11:00,Background,Ozone,37.93548387
Jan-2008,11:00,Background,PM10 Particulates,19.16129032
Jan-2008,11:00,Background,PM2.5 Particulates,.
Jan-2008,11:00,Background,Sulphur Dioxide,4.225806452
Jan-2008,12:00,Roadside,Nitric Oxide,
Jan-2008,12:00,Roadside,Nitrogen Dioxide,59.32258065
Jan-2008,12:00,Roadside,Oxides of Nitrogen,
Jan-2008,12:00,Roadside,Ozone,29.96774194
Jan-2008,12:00,Roadside,PM10 Particulates,28
Jan-2008,12:00,Roadside,PM2.5 Particulates,14.58064516
Jan-2008,12:00,Roadside,Sulphur Dioxide,5.032258065
Jan-2008,12:00,Background,Nitric Oxide,
Jan-2008,12:00,Background,Nitrogen Dioxide,41.38709677
Jan-2008,12:00,Background,Oxides of Nitrogen,
Jan-2008,12:00,Background,Ozone,39.90322581
Jan-2008,12:00,Background,PM10 Particulates,19.12903226
Jan-2008,12:00,Background,PM2.5 Particulates,.
Jan-2008,12:00,Background,Sulphur Dioxide,3.935483871
Jan-2008,13:00,Roadside,Nitric Oxide,
Jan-2008,13:00,Roadside,Nitrogen Dioxide,59.67741935
Jan-2008,13:00,Roadside,Oxides of Nitrogen,
Jan-2008,13:00,Roadside,Ozone,30.58064516
Jan-2008,13:00,Roadside,PM10 Particulates,27.70967742
Jan-2008,13:00,Roadside,PM2.5 Particulates,13.83870968
Jan-2008,13:00,Roadside,Sulphur Dioxide,5.096774194
Jan-2008,13:00,Background,Nitric Oxide,
Jan-2008,13:00,Background,Nitrogen Dioxide,40
Jan-2008,13:00,Background,Oxides of Nitrogen,
Jan-2008,13:00,Background,Ozone,41.51612903
Jan-2008,13:00,Background,PM10 Particulates,18.48387097
Jan-2008,13:00,Background,PM2.5 Particulates,.
Jan-2008,13:00,Background,Sulphur Dioxide,3.580645161
Jan-2008,14:00,Roadside,Nitric Oxide,
Jan-2008,14:00,Roadside,Nitrogen Dioxide,60.83870968
Jan-2008,14:00,Roadside,Oxides of Nitrogen,
Jan-2008,14:00,Roadside,Ozone,30.64516129
Jan-2008,14:00,Roadside,PM10 Particulates,26.32258065
Jan-2008,14:00,Roadside,PM2.5 Particulates,14.22580645
Jan-2008,14:00,Roadside,Sulphur Dioxide,4.870967742
Jan-2008,14:00,Background,Nitric Oxide,
Jan-2008,14:00,Background,Nitrogen Dioxide,41.06451613
Jan-2008,14:00,Background,Oxides of Nitrogen,
Jan-2008,14:00,Background,Ozone,41.12903226
Jan-2008,14:00,Background,PM10 Particulates,17.03225806
Jan-2008,14:00,Background,PM2.5 Particulates,.
Jan-2008,14:00,Background,Sulphur Dioxide,3.483870968
Jan-2008,15:00,Roadside,Nitric Oxide,
Jan-2008,15:00,Roadside,Nitrogen Dioxide,66.09677419
Jan-2008,15:00,Roadside,Oxides of Nitrogen,
Jan-2008,15:00,Roadside,Ozone,27.80645161
Jan-2008,15:00,Roadside,PM10 Particulates,27.19354839
Jan-2008,15:00,Roadside,PM2.5 Particulates,14.25806452
Jan-2008,15:00,Roadside,Sulphur Dioxide,5.032258065
Jan-2008,15:00,Background,Nitric Oxide,
Jan-2008,15:00,Background,Nitrogen Dioxide,45.58064516
Jan-2008,15:00,Background,Oxides of Nitrogen,
Jan-2008,15:00,Background,Ozone,37.61290323
Jan-2008,15:00,Background,PM10 Particulates,17.83870968
Jan-2008,15:00,Background,PM2.5 Particulates,.
Jan-2008,15:00,Background,Sulphur Dioxide,3.64516129
Jan-2008,16:00,Roadside,Nitric Oxide,
Jan-2008,16:00,Roadside,Nitrogen Dioxide,72.58064516
Jan-2008,16:00,Roadside,Oxides of Nitrogen,
Jan-2008,16:00,Roadside,Ozone,23.74193548
Jan-2008,16:00,Roadside,PM10 Particulates,28
Jan-2008,16:00,Roadside,PM2.5 Particulates,15.51612903
Jan-2008,16:00,Roadside,Sulphur Dioxide,5.322580645
Jan-2008,16:00,Background,Nitric Oxide,
Jan-2008,16:00,Background,Nitrogen Dioxide,52.03225806
Jan-2008,16:00,Background,Oxides of Nitrogen,
Jan-2008,16:00,Background,Ozone,31.93548387
Jan-2008,16:00,Background,PM10 Particulates,18.77419355
Jan-2008,16:00,Background,PM2.5 Particulates,.
Jan-2008,16:00,Background,Sulphur Dioxide,3.677419355
Jan-2008,17:00,Roadside,Nitric Oxide,
Jan-2008,17:00,Roadside,Nitrogen Dioxide,74.96774194
Jan-2008,17:00,Roadside,Oxides of Nitrogen,
Jan-2008,17:00,Roadside,Ozone,22.06451613
Jan-2008,17:00,Roadside,PM10 Particulates,29.32258065
Jan-2008,17:00,Roadside,PM2.5 Particulates,16.90322581
Jan-2008,17:00,Roadside,Sulphur Dioxide,5.483870968
Jan-2008,17:00,Background,Nitric Oxide,
Jan-2008,17:00,Background,Nitrogen Dioxide,55.67741935
Jan-2008,17:00,Background,Oxides of Nitrogen,
Jan-2008,17:00,Background,Ozone,29.16129032
Jan-2008,17:00,Background,PM10 Particulates,20.5483871
Jan-2008,17:00,Background,PM2.5 Particulates,.
Jan-2008,17:00,Background,Sulphur Dioxide,3.677419355
Jan-2008,18:00,Roadside,Nitric Oxide,
Jan-2008,18:00,Roadside,Nitrogen Dioxide,74.80645161
Jan-2008,18:00,Roadside,Oxides of Nitrogen,
Jan-2008,18:00,Roadside,Ozone,22.22580645
Jan-2008,18:00,Roadside,PM10 Particulates,30.19354839
Jan-2008,18:00,Roadside,PM2.5 Particulates,17.87096774
Jan-2008,18:00,Roadside,Sulphur Dioxide,5.580645161
Jan-2008,18:00,Background,Nitric Oxide,
Jan-2008,18:00,Background,Nitrogen Dioxide,57.06451613
Jan-2008,18:00,Background,Oxides of Nitrogen,
Jan-2008,18:00,Background,Ozone,28.90322581
Jan-2008,18:00,Background,PM10 Particulates,21.80645161
Jan-2008,18:00,Background,PM2.5 Particulates,.
Jan-2008,18:00,Background,Sulphur Dioxide,3.870967742
Jan-2008,19:00,Roadside,Nitric Oxide,
Jan-2008,19:00,Roadside,Nitrogen Dioxide,69.35483871
Jan-2008,19:00,Roadside,Oxides of Nitrogen,
Jan-2008,19:00,Roadside,Ozone,23.58064516
Jan-2008,19:00,Roadside,PM10 Particulates,29.96774194
Jan-2008,19:00,Roadside,PM2.5 Particulates,17.22580645
Jan-2008,19:00,Roadside,Sulphur Dioxide,5.35483871
Jan-2008,19:00,Background,Nitric Oxide,
Jan-2008,19:00,Background,Nitrogen Dioxide,55.29032258
Jan-2008,19:00,Background,Oxides of Nitrogen,
Jan-2008,19:00,Background,Ozone,30.29032258
Jan-2008,19:00,Background,PM10 Particulates,22.93548387
Jan-2008,19:00,Background,PM2.5 Particulates,.
Jan-2008,19:00,Background,Sulphur Dioxide,3.903225806
