Latitude,Longitude,Borough
51.4676,-0.0905,Lambeth
51.466,-0.089501,Lambeth
51.4631,-0.089501,Lambeth
51.4618,-0.0903,Lambeth
51.4574,-0.096401,Lambeth
51.4553,-0.099,Lambeth
51.4547,-0.0998,Lambeth
51.4538,-0.100399,Lambeth
51.4527,-0.100499,Lambeth
51.452,-0.100099,Lambeth
51.4507,-0.0975,Lambeth
51.4481,-0.095,Lambeth
51.4464,-0.093901,Lambeth
51.4426,-0.091201,Lambeth
51.4384,-0.0892,Lambeth
51.4333,-0.0878,Lambeth
51.4296,-0.0856,Lambeth
51.4287,-0.084101,Lambeth
51.4269,-0.0826,Lambeth
51.4239,-0.081601,Lambeth
51.4238,-0.0805,Lambeth
51.4228,-0.0801,Lambeth
51.4219,-0.0782,Lambeth
51.4217,-0.0778,Lambeth
51.4202,-0.0786,Lambeth
51.4202,-0.0794,Lambeth
51.5702,-0.247399,Barnet
51.5706,-0.247699,Barnet
51.5737,-0.249999,Barnet
51.5741,-0.249799,Barnet
51.5766,-0.250599,Barnet
51.5794,-0.251001,Barnet
51.5806,-0.250899,Barnet
51.5826,-0.249899,Barnet
51.5837,-0.247599,Barnet
51.5848,-0.247399,Barnet
51.6002,-0.265199,Barnet
51.6004,-0.265299,Barnet
51.613,-0.280499,Barnet
51.6169,-0.285899,Barnet
51.6206,-0.292001,Barnet
51.6245,-0.299699,Barnet
51.6287,-0.304399,Barnet
51.6311,-0.3073,Barnet
51.633,-0.307799,Barnet
51.6342,-0.307,Barnet
51.635,-0.305599,Barnet
51.6366,-0.302499,Barnet
51.6359,-0.300199,Barnet
51.6354,-0.296099,Barnet
51.6351,-0.290599,Barnet
51.6353,-0.286,Barnet
51.6355,-0.282199,Barnet
51.6369,-0.276699,Barnet
51.6377,-0.270299,Barnet
51.64,-0.268599,Barnet
51.6422,-0.266699,Barnet
51.6436,-0.264599,Barnet
51.6441,-0.262299,Barnet
51.6432,-0.258501,Barnet
51.6419,-0.2564,Barnet
51.6421,-0.255399,Barnet
51.6442,-0.253999,Barnet
51.6462,-0.252399,Barnet
51.648,-0.2512,Barnet
51.6547,-0.247599,Barnet
51.6558,-0.246499,Barnet
51.6592,-0.234699,Barnet
51.6623,-0.228299,Barnet
51.6618,-0.227699,Barnet
51.6607,-0.222099,Barnet
51.6602,-0.220699,Barnet
51.6631,-0.207599,Barnet
51.6643,-0.205199,Barnet
51.6697,-0.197899,Barnet
51.6687,-0.195599,Barnet
51.6662,-0.192299,Barnet
51.6662,-0.189199,Barnet
51.6681,-0.1862,Barnet
51.6695,-0.183599,Barnet
51.6697,-0.1818,Barnet
51.67,-0.180699,Barnet
51.6718,-0.177299,Barnet
51.669,-0.174399,Barnet
51.6678,-0.174899,Barnet
51.6675,-0.1766,Barnet
51.6662,-0.178099,Barnet
51.6659,-0.180799,Barnet
51.6629,-0.1864,Barnet
51.662,-0.1864,Barnet
51.6571,-0.156,Barnet
51.6567,-0.153299,Barnet
51.6557,-0.1512,Barnet
51.6495,-0.150699,Barnet
51.6427,-0.145099,Barnet
51.6395,-0.143399,Barnet
51.6375,-0.140899,Barnet
51.6349,-0.1368,Barnet
51.6316,-0.130699,Barnet
51.6308,-0.1287,Barnet
51.6265,-0.1316,Barnet
51.6241,-0.132099,Barnet
51.6221,-0.133299,Barnet
51.6195,-0.136699,Barnet
51.6179,-0.1385,Barnet
51.6136,-0.144399,Barnet
51.6093,-0.137799,Barnet
51.6079,-0.140699,Barnet
51.6072,-0.142099,Barnet
51.6045,-0.142799,Barnet
51.6031,-0.142999,Barnet
51.6028,-0.142899,Barnet
51.5983,-0.155099,Barnet
51.5995,-0.155299,Barnet
51.6017,-0.155299,Barnet
51.6029,-0.155299,Barnet
51.6035,-0.155399,Barnet
51.6036,-0.155599,Barnet
51.6037,-0.156,Barnet
51.6036,-0.156299,Barnet
51.602,-0.1585,Barnet
51.6006,-0.1593,Barnet
51.5978,-0.160099,Barnet
51.5972,-0.160199,Barnet
51.5918,-0.1591,Barnet
51.59,-0.158599,Barnet
51.5863,-0.1566,Barnet
51.5857,-0.1568,Barnet
51.5837,-0.157199,Barnet
51.5846,-0.159399,Barnet
51.5837,-0.161,Barnet
51.5828,-0.1618,Barnet
51.5819,-0.162399,Barnet
51.5773,-0.165299,Barnet
51.5761,-0.165199,Barnet
51.5737,-0.165199,Barnet
51.5735,-0.165199,Barnet
51.5733,-0.1689,Barnet
51.5727,-0.171499,Barnet
51.5718,-0.1735,Barnet
51.5694,-0.175299,Barnet
51.5695,-0.177699,Barnet
51.5693,-0.1787,Barnet
51.569,-0.180099,Barnet
