Day,Number of Bicycle Hires,Month,Year,Weekday
05/12/2017,"29,611",5,2017,Thursday
06/12/2017,"29,058",6,2017,Sunday
07/12/2017,"24,810",7,2017,Tuesday
08/12/2017,"24,431",8,2017,Friday
09/12/2017,"15,509",9,2017,Monday
10/12/2017,"5,143",10,2017,Wednesday
11/12/2017,"13,055",11,2017,Saturday
12/12/2017,"22,780",12,2017,Monday
13/12/2017,"20,074",12,2017,Tuesday
14/12/2017,"24,064",12,2017,Wednesday
15/12/2017,"21,107",12,2017,Thursday
16/12/2017,"12,229",12,2017,Friday
17/12/2017,"7,519",12,2017,Saturday
18/12/2017,"23,414",12,2017,Sunday
19/12/2017,"22,935",12,2017,Monday
20/12/2017,"21,801",12,2017,Tuesday
21/12/2017,"20,945",12,2017,Wednesday
22/12/2017,"17,124",12,2017,Thursday
23/12/2017,"9,725",12,2017,Friday
24/12/2017,"7,498",12,2017,Saturday
25/12/2017,"27,305",12,2017,Sunday
26/12/2017,"7,149",12,2017,Monday
27/12/2017,"5,426",12,2017,Tuesday
28/12/2017,"11,236",12,2017,Wednesday
29/12/2017,"8,346",12,2017,Thursday
30/12/2017,"10,908",12,2017,Friday
31/12/2017,"9,292",12,2017,Saturday
01/01/2018,"10,235",1,2018,Sunday
02/01/2018,"14,394",2,2018,Wednesday
03/01/2018,"20,265",3,2018,Wednesday
04/01/2018,"17,543",4,2018,Saturday
05/01/2018,"21,759",5,2018,Monday
06/01/2018,"13,920",6,2018,Thursday
07/01/2018,"12,259",7,2018,Saturday
08/01/2018,"23,374",8,2018,Tuesday
09/01/2018,"24,683",9,2018,Friday
10/01/2018,"26,787",10,2018,Sunday
11/01/2018,"25,222",11,2018,Wednesday
12/01/2018,"24,696",12,2018,Friday
13/01/2018,"17,512",1,2018,Friday
14/01/2018,"15,070",1,2018,Saturday
15/01/2018,"19,161",1,2018,Sunday
16/01/2018,"26,921",1,2018,Monday
17/01/2018,"26,934",1,2018,Tuesday
18/01/2018,"26,471",1,2018,Wednesday
19/01/2018,"25,799",1,2018,Thursday
20/01/2018,"9,398",1,2018,Friday
21/01/2018,"5,859",1,2018,Saturday
22/01/2018,"26,337",1,2018,Sunday
23/01/2018,"26,003",1,2018,Monday
24/01/2018,"20,206",1,2018,Tuesday
25/01/2018,"28,189",1,2018,Wednesday
26/01/2018,"26,430",1,2018,Thursday
27/01/2018,"14,472",1,2018,Friday
28/01/2018,"17,512",1,2018,Saturday
29/01/2018,"26,371",1,2018,Sunday
30/01/2018,"28,002",1,2018,Monday
31/01/2018,"24,117",1,2018,Tuesday
01/02/2018,"25,525",1,2018,Monday
02/02/2018,"25,331",2,2018,Thursday
03/02/2018,"8,975",3,2018,Thursday
04/02/2018,"13,833",4,2018,Sunday
05/02/2018,"23,898",5,2018,Tuesday
06/02/2018,"25,349",6,2018,Friday
07/02/2018,"25,388",7,2018,Sunday
08/02/2018,"25,791",8,2018,Wednesday
09/02/2018,"21,037",9,2018,Saturday
10/02/2018,"9,956",10,2018,Monday
11/02/2018,"14,621",11,2018,Thursday
12/02/2018,"24,719",12,2018,Saturday
13/02/2018,"20,931",2,2018,Monday
14/02/2018,"18,866",2,2018,Tuesday
15/02/2018,"25,264",2,2018,Wednesday
16/02/2018,"25,411",2,2018,Thursday
17/02/2018,"23,169",2,2018,Friday
18/02/2018,"18,624",2,2018,Saturday
19/02/2018,"19,879",2,2018,Sunday
20/02/2018,"25,055",2,2018,Monday
21/02/2018,"26,434",2,2018,Tuesday
22/02/2018,"26,179",2,2018,Wednesday
23/02/2018,"23,067",2,2018,Thursday
24/02/2018,"16,522",2,2018,Friday
25/02/2018,"14,037",2,2018,Saturday
26/02/2018,"19,204",2,2018,Sunday
27/02/2018,"18,741",2,2018,Monday
28/02/2018,"10,619",2,2018,Tuesday
01/03/2018,"8,744",1,2018,Tuesday
02/03/2018,"8,234",2,2018,Friday
03/03/2018,"7,924",3,2018,Friday
04/03/2018,"10,853",4,2018,Monday
05/03/2018,"24,818",5,2018,Wednesday
06/03/2018,"26,301",6,2018,Saturday
07/03/2018,"22,044",7,2018,Monday
08/03/2018,"25,967",8,2018,Thursday
09/03/2018,"18,912",9,2018,Sunday
10/03/2018,"18,717",10,2018,Tuesday
11/03/2018,"16,259",11,2018,Friday
12/03/2018,"19,996",12,2018,Sunday
13/03/2018,"28,069",3,2018,Monday
14/03/2018,"28,769",3,2018,Tuesday
15/03/2018,"25,318",3,2018,Wednesday
16/03/2018,"28,308",3,2018,Thursday
17/03/2018,"8,106",3,2018,Friday
18/03/2018,"6,624",3,2018,Saturday
19/03/2018,"20,488",3,2018,Sunday
20/03/2018,"24,582",3,2018,Monday
21/03/2018,"27,719",3,2018,Tuesday
22/03/2018,"27,228",3,2018,Wednesday
23/03/2018,"26,894",3,2018,Thursday
24/03/2018,"18,804",3,2018,Friday
25/03/2018,"19,723",3,2018,Saturday
26/03/2018,"29,486",3,2018,Sunday
27/03/2018,"22,603",3,2018,Monday
28/03/2018,"15,800",3,2018,Tuesday
29/03/2018,"20,237",3,2018,Wednesday
30/03/2018,"6,362",3,2018,Thursday
31/03/2018,"11,032",3,2018,Friday
01/04/2018,"13,504",1,2018,Wednesday
02/04/2018,"7,998",2,2018,Saturday
03/04/2018,"22,708",3,2018,Saturday
04/04/2018,"23,173",4,2018,Tuesday
05/04/2018,"30,508",5,2018,Thursday
06/04/2018,"30,690",6,2018,Sunday
07/04/2018,"25,909",7,2018,Tuesday
08/04/2018,"9,759",8,2018,Friday
09/04/2018,"16,324",9,2018,Monday
10/04/2018,"26,751",10,2018,Wednesday
11/04/2018,"24,883",11,2018,Saturday
12/04/2018,"26,473",12,2018,Monday
13/04/2018,"27,363",4,2018,Thursday
14/04/2018,"34,235",4,2018,Friday
15/04/2018,"21,324",4,2018,Saturday
16/04/2018,"30,730",4,2018,Sunday
17/04/2018,"33,025",4,2018,Monday
18/04/2018,"40,544",4,2018,Tuesday
19/04/2018,"43,585",4,2018,Wednesday
20/04/2018,"45,048",4,2018,Thursday
21/04/2018,"42,328",4,2018,Friday
22/04/2018,"38,395",4,2018,Saturday
23/04/2018,"35,940",4,2018,Sunday
24/04/2018,"33,430",4,2018,Monday
25/04/2018,"33,426",4,2018,Tuesday
26/04/2018,"34,995",4,2018,Wednesday
27/04/2018,"21,387",4,2018,Thursday
28/04/2018,"17,368",4,2018,Friday
29/04/2018,"15,822",4,2018,Saturday
30/04/2018,"17,112",4,2018,Sunday
01/05/2018,"34,598",1,2018,Thursday
02/05/2018,"23,727",2,2018,Sunday
03/05/2018,"35,477",3,2018,Sunday
04/05/2018,"36,447",4,2018,Wednesday
05/05/2018,"39,070",5,2018,Friday
06/05/2018,"40,606",6,2018,Monday
07/05/2018,"45,435",7,2018,Wednesday
08/05/2018,"41,579",8,2018,Saturday
09/05/2018,"41,130",9,2018,Tuesday
10/05/2018,"38,054",10,2018,Thursday
11/05/2018,"38,386",11,2018,Sunday
12/05/2018,"16,717",12,2018,Tuesday
13/05/2018,"29,190",5,2018,Saturday
14/05/2018,"38,095",5,2018,Sunday
15/05/2018,"42,106",5,2018,Monday
16/05/2018,"34,627",5,2018,Tuesday
17/05/2018,"37,549",5,2018,Wednesday
18/05/2018,"37,305",5,2018,Thursday
19/05/2018,"36,895",5,2018,Friday
20/05/2018,"39,964",5,2018,Saturday
21/05/2018,"38,800",5,2018,Sunday
22/05/2018,"41,242",5,2018,Monday
23/05/2018,"38,229",5,2018,Tuesday
24/05/2018,"31,970",5,2018,Wednesday
25/05/2018,"35,108",5,2018,Thursday
26/05/2018,"33,573",5,2018,Friday
27/05/2018,"33,192",5,2018,Saturday
28/05/2018,"36,742",5,2018,Sunday
29/05/2018,"24,312",5,2018,Monday
30/05/2018,"34,884",5,2018,Tuesday
31/05/2018,"37,677",5,2018,Wednesday
01/06/2018,"37,293",1,2018,Friday
02/06/2018,"38,293",2,2018,Monday
03/06/2018,"39,871",3,2018,Monday
04/06/2018,"35,255",4,2018,Thursday
05/06/2018,"37,048",5,2018,Saturday
06/06/2018,"41,592",6,2018,Tuesday
07/06/2018,"37,841",7,2018,Thursday
08/06/2018,"39,576",8,2018,Sunday
09/06/2018,"36,466",9,2018,Wednesday
10/06/2018,"38,562",10,2018,Friday
11/06/2018,"41,027",11,2018,Monday
12/06/2018,"38,487",12,2018,Wednesday
13/06/2018,"40,569",6,2018,Tuesday
14/06/2018,"37,871",6,2018,Wednesday
15/06/2018,"39,862",6,2018,Thursday
16/06/2018,"31,329",6,2018,Friday
17/06/2018,"26,769",6,2018,Saturday
18/06/2018,"39,768",6,2018,Sunday
19/06/2018,"41,862",6,2018,Monday
20/06/2018,"41,134",6,2018,Tuesday
21/06/2018,"41,533",6,2018,Wednesday
22/06/2018,"41,765",6,2018,Thursday
23/06/2018,"38,772",6,2018,Friday
24/06/2018,"38,982",6,2018,Saturday
25/06/2018,"44,565",6,2018,Sunday
26/06/2018,"46,084",6,2018,Monday
27/06/2018,"44,788",6,2018,Tuesday
28/06/2018,"43,075",6,2018,Wednesday
29/06/2018,"43,081",6,2018,Thursday
30/06/2018,"38,522",6,2018,Friday
01/07/2018,"37,334",1,2018,Saturday
02/07/2018,"42,556",2,2018,Tuesday
03/07/2018,"44,655",3,2018,Tuesday
04/07/2018,"43,511",4,2018,Friday
05/07/2018,"44,052",5,2018,Sunday
06/07/2018,"43,143",6,2018,Wednesday
07/07/2018,"36,308",7,2018,Friday
08/07/2018,"38,196",8,2018,Monday
09/07/2018,"41,893",9,2018,Thursday
10/07/2018,"43,535",10,2018,Saturday
11/07/2018,"44,003",11,2018,Tuesday
12/07/2018,"41,826",12,2018,Thursday
13/07/2018,"38,879",7,2018,Thursday
14/07/2018,"37,733",7,2018,Friday
15/07/2018,"37,299",7,2018,Saturday
16/07/2018,"41,828",7,2018,Sunday
17/07/2018,"43,392",7,2018,Monday
18/07/2018,"43,183",7,2018,Tuesday
19/07/2018,"42,857",7,2018,Wednesday
20/07/2018,"40,297",7,2018,Thursday
21/07/2018,"38,763",7,2018,Friday
22/07/2018,"37,683",7,2018,Saturday
23/07/2018,"42,509",7,2018,Sunday
24/07/2018,"44,195",7,2018,Monday
25/07/2018,"44,870",7,2018,Tuesday
26/07/2018,"43,343",7,2018,Wednesday
27/07/2018,"34,606",7,2018,Thursday
28/07/2018,"41,145",7,2018,Friday
29/07/2018,"18,974",7,2018,Saturday
30/07/2018,"38,274",7,2018,Sunday
31/07/2018,"42,260",7,2018,Monday
01/08/2018,"43,691",1,2018,Sunday
02/08/2018,"43,292",2,2018,Wednesday
03/08/2018,"40,908",3,2018,Wednesday
04/08/2018,"39,318",4,2018,Saturday
05/08/2018,"40,220",5,2018,Monday
06/08/2018,"41,963",6,2018,Thursday
07/08/2018,"40,954",7,2018,Saturday
08/08/2018,"42,676",8,2018,Tuesday
09/08/2018,"20,574",9,2018,Friday
10/08/2018,"29,253",10,2018,Sunday
11/08/2018,"33,214",11,2018,Wednesday
12/08/2018,"23,113",12,2018,Friday
13/08/2018,"36,510",8,2018,Sunday
14/08/2018,"40,735",8,2018,Monday
15/08/2018,"40,930",8,2018,Tuesday
16/08/2018,"28,400",8,2018,Wednesday
17/08/2018,"36,869",8,2018,Thursday
18/08/2018,"31,691",8,2018,Friday
19/08/2018,"32,209",8,2018,Saturday
20/08/2018,"37,839",8,2018,Sunday
21/08/2018,"40,293",8,2018,Monday
22/08/2018,"38,401",8,2018,Tuesday
23/08/2018,"34,492",8,2018,Wednesday
24/08/2018,"27,839",8,2018,Thursday
25/08/2018,"25,490",8,2018,Friday
26/08/2018,"8,177",8,2018,Saturday
27/08/2018,"25,059",8,2018,Sunday
28/08/2018,"34,791",8,2018,Monday
29/08/2018,"27,070",8,2018,Tuesday
30/08/2018,"37,001",8,2018,Wednesday
31/08/2018,"35,209",8,2018,Thursday
01/09/2018,"35,326",1,2018,Monday
02/09/2018,"35,048",2,2018,Thursday
03/09/2018,"36,068",3,2018,Thursday
04/09/2018,"36,581",4,2018,Sunday
05/09/2018,"36,059",5,2018,Tuesday
06/09/2018,"34,778",6,2018,Friday
07/09/2018,"35,451",7,2018,Sunday
08/09/2018,"28,318",8,2018,Wednesday
09/09/2018,"30,598",9,2018,Saturday
10/09/2018,"36,965",10,2018,Monday
11/09/2018,"37,221",11,2018,Thursday
12/09/2018,"33,403",12,2018,Saturday
13/09/2018,"38,708",9,2018,Wednesday
14/09/2018,"35,332",9,2018,Thursday
15/09/2018,"33,465",9,2018,Friday
16/09/2018,"32,055",9,2018,Saturday
17/09/2018,"39,190",9,2018,Sunday
18/09/2018,"38,360",9,2018,Monday
19/09/2018,"37,027",9,2018,Tuesday
20/09/2018,"35,317",9,2018,Wednesday
21/09/2018,"32,942",9,2018,Thursday
22/09/2018,"12,376",9,2018,Friday
23/09/2018,"13,192",9,2018,Saturday
24/09/2018,"34,563",9,2018,Sunday
25/09/2018,"36,730",9,2018,Monday
26/09/2018,"39,281",9,2018,Tuesday
27/09/2018,"39,835",9,2018,Wednesday
28/09/2018,"35,817",9,2018,Thursday
29/09/2018,"32,941",9,2018,Friday
30/09/2018,"25,254",9,2018,Saturday
01/10/2018,"34,411",1,2018,Tuesday
02/10/2018,"37,515",2,2018,Friday
03/10/2018,"38,434",3,2018,Friday
04/10/2018,"36,930",4,2018,Monday
05/10/2018,"39,569",5,2018,Wednesday
06/10/2018,"10,043",6,2018,Saturday
07/10/2018,"25,713",7,2018,Monday
08/10/2018,"35,156",8,2018,Thursday
09/10/2018,"39,132",9,2018,Sunday
10/10/2018,"39,398",10,2018,Tuesday
11/10/2018,"35,875",11,2018,Friday
12/10/2018,"35,747",12,2018,Sunday
13/10/2018,"36,393",10,2018,Friday
14/10/2018,"10,292",10,2018,Saturday
15/10/2018,"28,044",10,2018,Sunday
16/10/2018,"37,920",10,2018,Monday
17/10/2018,"30,482",10,2018,Tuesday
18/10/2018,"35,206",10,2018,Wednesday
19/10/2018,"34,707",10,2018,Thursday
20/10/2018,"32,588",10,2018,Friday
21/10/2018,"32,484",10,2018,Saturday
22/10/2018,"34,430",10,2018,Sunday
23/10/2018,"34,889",10,2018,Monday
24/10/2018,"35,656",10,2018,Tuesday
25/10/2018,"34,640",10,2018,Wednesday
26/10/2018,"27,636",10,2018,Thursday
27/10/2018,"18,756",10,2018,Friday
28/10/2018,"13,675",10,2018,Saturday
29/10/2018,"29,409",10,2018,Sunday
30/10/2018,"30,269",10,2018,Monday
31/10/2018,"32,891",10,2018,Tuesday
