Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2007,Greenford                          ,6089,3795,2140,5335,3468,2052,213.86
2007,Gunnersbury                        ,6700,2910,1796,5830,2775,1462,212.38
2007,Hainault                           ,3898,1800,1073,3737,1682,1112,130.43
2007,Hammersmith (Dis)                  ,42846,31001,18726,43407,29750,18469,1680.66
2007,Hammersmith (H&C)                  ,9906,6853,4158,11524,8571,5373,419.72
2007,Hampstead                          ,6324,5169,3773,6697,5372,4121,274.43
2007,Hanger Lane                        ,5009,2958,1941,4587,2626,1803,177.36
2007,Harlesden                          ,3781,2358,1469,3201,2233,1766,135.16
2007,Harrow & Wealdstone                ,8540,4965,2284,8177,5674,2340,304.34
2007,Harrow-on-the-Hill                 ,14662,10548,6425,15213,9919,6397,577.95
2007,Hatton Cross                       ,5260,3152,2434,4868,2952,2184,192.04
2007,Heathrow Terminal 4                ,2726,2339,2618,2963,3124,3939,141.31
2007,Heathrow Terminals 123             ,12599,12856,14357,12449,11917,14154,628.72
2007,Hendon Central                     ,9071,5321,3886,8472,4673,3539,325.86
2007,High Barnet                        ,4325,2876,1482,4165,2655,1533,159.14
2007,High Street Kensington             ,18943,14999,10120,19873,15871,9839,795.93
2007,Highbury & Islington               ,22210,16020,9187,21414,16205,9099,857.15
2007,Highgate                           ,7488,4923,2843,7031,4342,2890,274.04
2007,Hillingdon                         ,2260,1420,729,2050,1263,703,79.51
2007,Holborn                            ,51590,24539,14216,54629,26056,12933,1809.48
2007,Holland Park                       ,6044,3686,2451,5634,3641,2356,220.49
2007,Holloway Road                      ,11909,8543,4622,12074,8479,4425,461.28
2007,Hornchurch                         ,3213,1319,707,3218,1396,691,105.99
2007,Hounslow Central                   ,5751,3860,2815,5505,3575,2670,219.54
2007,Hounslow East                      ,6482,5008,3846,5299,3662,3102,242.84
2007,Hounslow West                      ,4841,3621,2877,4539,3398,2879,194.62
2007,Hyde Park Corner                   ,7777,7625,5654,8426,7710,6210,366.91
2007,Ickenham                           ,1889,883,391,1801,800,411,61.72
2007,Kennington                         ,6503,5037,3390,6276,4777,3583,262.13
2007,Kensal Green                       ,4111,2939,1847,3428,2584,1414,148.77
2007,Kensington (Olympia)               ,1399,957,959,1545,840,967,58.97
2007,Kentish Town                       ,10568,6287,5215,10166,5350,4653,389.74
2007,Kenton                             ,2363,1103,849,2462,1130,955,84.75
2007,Kew Gardens                        ,5146,4553,3408,4621,3564,3456,212.94
2007,Kilburn                            ,13150,11252,7764,12582,9764,7468,543.00
2007,Kilburn Park                       ,5297,4394,2859,4956,4023,2750,214.17
2007,King's Cross St. Pancras           ,98783,81550,61377,102458,79877,58131,4223.14
2007,Kingsbury                          ,5616,3478,2350,5084,3281,2225,203.34
2007,Knightsbridge                      ,31337,33672,20891,30352,34751,19947,1442.13
2007,Ladbroke Grove                     ,7411,8967,4025,6934,6153,3195,319.63
2007,Lambeth North                      ,4774,3630,2604,4333,3141,2202,184.81
2007,Lancaster Gate                     ,8870,6596,5018,8745,6645,4734,360.09
2007,Latimer Road                       ,3314,1861,1286,3249,1670,1271,119.28
2007,Leicester Square                   ,58432,78013,41794,47307,67654,32114,2690.27
2007,Leyton                             ,19048,15891,11064,18307,14638,10709,786.21
2007,Leytonstone                        ,14888,10745,7303,14792,10164,7078,586.83
2007,Liverpool Street                   ,97993,48031,37182,104503,53128,44607,3634.94
2007,London Bridge                      ,94189,64217,34123,89124,61539,34300,3495.35
2007,Loughton                           ,4102,2289,1148,4177,2231,1167,145.99
2007,Maida Vale                         ,5125,3621,2253,4557,2959,2144,188.64
2007,Manor House                        ,14456,12060,10117,13171,9971,9563,597.38
2007,Mansion House                      ,9144,2378,1912,9408,1813,1449,278.46
2007,Marble Arch                        ,22336,22627,15894,21129,20575,13321,986.99
2007,Marylebone                         ,17398,10148,6283,18024,10518,6670,649.02
2007,Mile End                           ,19967,12927,8582,18755,11570,8605,739.36
2007,Mill Hill East                     ,1519,1143,593,1513,1171,605,59.66
2007,Moor Park                          ,1293,546,316,1250,495,317,42.16
2007,Moorgate                           ,37836,5401,3103,41423,5927,3262,1101.64
2007,Morden                             ,10148,6387,4342,9995,6346,4526,383.72
2007,Mornington Crescent                ,6448,3488,9051,5830,2595,1539,252.42
2007,Neasden                            ,5359,3922,2754,4947,3770,2746,209.36
2007,New Cross                          ,3184,2349,1579,3922,2892,1844,141.38
2007,New Cross Gate                     ,6272,3553,3869,4842,2838,3234,219.96
2007,Newbury Park                       ,6059,3262,2141,5083,2882,1996,202.71
