Latitude,Longitude,Station Name
51.5094,-0.1967,"Notting Hill Gate"
51.5263,-0.0873,"Old Street"
51.4813,-0.3522,"Osterley"
51.4819,-0.113,"Oval"
51.515,-0.1415,"Oxford Circus"
51.5154,-0.1755,"Paddington"
51.527,-0.2841,"Park Royal"
51.4753,-0.2011,"Parsons Green"
51.5366,-0.3232,"Perivale"
51.5098,-0.1342,"Picadilly Circus"
51.4893,-0.1334,"Pimlico"
51.5926,-0.3805,"Pinner"
51.5313,0.0172,"Plaistow"
51.5077,-0.0173,"Poplar"
51.572,-0.2954,"Preston Road"
51.5093,0.0336,"Prince Regent"
51.4682,-0.2089,"Putney Bridge"
51.5341,-0.2047,"Queen's Park"
51.5942,-0.2861,"Queensbury"
51.5107,-0.1877,"Queensway"
51.4942,-0.2359,"Ravenscourt Park"
51.5753,-0.3714,"Rayners Lane"
51.5763,0.0454,"Redbridge"
51.5234,-0.1466,"Regent's Park"
51.4633,-0.3013,"Richmond"
51.6171,0.0439,"Roding Valley"
51.501,-0.0525,"Rotherhithe"
51.5084,0.0465,"Royal Albert"
51.519,-0.188,"Royal Oak"
51.5091,0.0181,"Royal Victoria"
51.5715,-0.4213,"Ruislip"
51.5732,-0.4125,"Ruislip Manor"
51.523,-0.1244,"Russell Square"
51.5822,-0.0749,"Seven Sisters"
51.5117,-0.056,"Shadwell"
51.5046,-0.2187,"Shepherd's Bush (C)"
51.5058,-0.2265,"Shepherd's Bush (H)"
51.5227,-0.0708,"Shoreditch"
51.4924,-0.1565,"Sloane Square"
51.5808,0.0216,"Snaresbrook"
51.4454,-0.2066,"Southfields"
51.5011,-0.3072,"South Ealing"
51.5646,-0.3521,"South Harrow"
51.4941,-0.1738,"South Kensington"
51.5701,-0.3081,"South Kenton"
51.5007,-0.0191,"South Quay"
51.5569,-0.3988,"South Ruislip"
51.4154,-0.1919,"South Wimbledon"
51.5917,0.0275,"South Woodford"
51.495,-0.2459,"Stamford Brook"
